measured,predicted
0.152112201,0.152030349
0.131699964,0.372931749
0.133350402,0.108728975
0.198890924,0.19998765
0.198909119,0.307623267
0.17090404,0.157023698
0.191487223,0.384024441
0.182778329,0.17882964
0.179084763,0.163402036
0.117765784,0.0793776587
0.119891651,0.0970067009
0.103200965,0.0921698958
0.101639681,0.089269191
0.0988699868,0.10696657
0.0946610048,0.110788174
0.117443286,0.144992113
0.102712229,0.125082642
0.110329069,0.126596153
0.103367858,0.130274683
0.0785460398,0.105865099
0.105380341,0.1137072
0.0840568691,0.131278455
0.0902823135,0.107963867
0.103161439,0.161154702
0.0877044424,0.104219414
0.0795872286,0.102607578
0.0774251819,0.0975914076
0.0929321796,0.100084916
0.0857917294,0.102929085
0.0997604877,0.120147049
0.106520034,0.135340914
0.10733638,0.128879815
0.144630238,0.148113891
0.103087768,0.113996238
0.178674087,0.176864684
0.175722897,0.142904475
0.178602621,0.189783216
0.107930221,0.116702437
0.163741499,0.187823698
0.209050253,0.196392313
0.142962724,0.355866194
0.152401224,0.179779947
0.120030262,0.147797242
0.225948095,0.199699
0.124628872,0.147797242
0.141101733,0.131200969
0.176629022,0.192294225
0.157941416,0.0884712189
0.103658572,0.125664711
0.139431432,0.108946212
0.130401224,0.104448654
0.111737505,0.154528558
0.103576146,0.115922056
0.156975314,0.218903244
0.146311343,0.170793474
0.123908751,0.117846422
0.0983707756,0.116837613
0.105265602,0.116837613
0.150877938,0.152961761
0.120097168,0.133977041
0.124989659,0.153815567
0.113667607,0.135546714
0.132977292,0.144008964
0.13330777,0.143481582
0.113930508,0.135977954
0.14625378,0.128864706
0.0911850631,0.119363904
0.126701668,0.126885712
0.120931484,0.112920895
0.0875593647,0.10234049
0.158537626,0.266459346
0.117294542,0.109528564
0.112612963,0.12276876
0.102734387,0.105095737
0.0958539322,0.0957275704
0.13310425,0.120665535
0.0781049505,0.0882939473
0.140710071,0.136975646
0.133266583,0.155011833
0.101140343,0.107631318
0.153271109,0.133147642
0.0842862129,0.0864573121
0.082215108,0.0922303721
0.112747267,0.116590649
0.098390162,0.106505089
0.0890698954,0.0922303721
0.0889945775,0.0916669667
0.151757747,0.155529618
0.114004619,0.138507664
0.112936951,0.138507664
0.118835352,0.144240916
0.127609015,0.157134429
0.111460328,0.128996283
0.144279853,0.183991626
0.111563548,0.152577758
0.158880755,0.128510132
0.129377782,0.165306091
0.113974743,0.150275379
0.13652125,0.097942926
0.114779383,0.112541966
0.139859453,0.116601273
0.124125496,0.152679563
0.14299047,0.16777207
0.152966738,0.134025693
0.126008943,0.147465602
0.171885327,0.153265178
0.130432487,0.163896799
0.112190671,0.144059539
0.101619475,0.13808614
0.136008725,0.158303201
0.118294559,0.144097805
0.241637334,0.299412727
0.108058132,0.134390756
0.141600013,0.130292639
0.136776224,0.122725278
0.151698902,0.118713193
0.152230129,0.120248422
0.142348647,0.117713049
0.169515386,0.142414033
0.143723264,0.125778168
0.183809355,0.164115176
0.161630541,0.130190328
0.198745728,0.279951274
0.161745623,0.140697464
0.144528463,0.125237659
0.237618729,0.200464994
0.198751435,0.194854438
0.292639673,0.193312004
0.173980489,0.170765087
0.200204074,0.127196237
0.199132949,0.144698769
0.194455206,0.156216517
0.202263907,0.152778879
0.203627735,0.223478436
0.232193291,0.169072732
0.21095632,0.187847331
0.1832968,0.158999503
0.140134841,0.156567395
0.162762031,0.145621136
0.161575988,0.179368898
0.171983808,0.146925583
0.212027848,0.171043888
0.188341305,0.153805539
0.174873114,0.252409995
0.120576508,0.115419783
0.212064371,0.173332453
0.135743752,0.196192071
0.163476214,0.133722216
0.145105377,0.253495157
0.184498668,0.152239904
0.127677768,0.100627467
0.140798524,0.113105454
0.155206308,0.113105454
0.208090484,0.169226378
0.155969277,0.139789015
0.217897877,0.179718494
0.214867547,0.174017459
0.133164555,0.125672847
0.156737894,0.151649296
0.143701196,0.138753146
0.221926689,0.193992257
0.175454021,0.256588399
0.163584337,0.175998956
0.220990598,0.208080888
0.29019624,0.203355551
0.159013182,0.137760371
0.227028683,0.20602265
0.243444026,0.20602265
0.175221309,0.140749767
0.238409415,0.353450179
0.243356705,0.174681723
0.188953817,0.16947113
0.191009179,0.149720252
