measured,predicted
0.0855706558,0.118199766
0.0634010062,0.0996071622
0.107095271,0.13240248
0.0927464142,0.13240248
0.109594472,0.107065842
0.107075393,0.157498896
0.0961084291,0.1197723
0.175189465,0.196050182
0.0838106647,0.0841966197
0.0883607045,0.226500139
0.0696398392,0.16775158
0.0917439535,0.0947641358
0.0831570923,0.101496615
0.0959709883,0.102720045
0.098534964,0.094395414
0.0930255428,0.115015417
0.0923175663,0.107903428
0.113187507,0.106487207
0.09061829,0.104569733
0.12988548,0.190186337
0.1094281,0.122450002
0.0832064524,0.0932143554
0.0926760212,0.113055922
0.102766819,0.116496637
0.0923452675,0.0918491483
0.174027115,0.191372663
0.0908241495,0.119756483
0.09896034,0.0989982635
0.0798619315,0.0649208128
0.101427451,0.110196456
0.131665513,0.119765967
0.116864488,0.0751717091
0.189723626,0.110483669
0.137573019,0.227488905
0.112939715,0.0952207893
0.0918163061,0.0790425688
0.0996973515,0.0862173438
0.136210546,0.123557895
0.142779171,0.181310758
0.28788957,0.261909306
0.102514893,0.0802627504
0.154936761,0.134410888
0.103578016,0.0857683122
0.139424264,0.110213973
0.234133244,0.148705587
0.123763464,0.109130517
0.159459412,0.147609323
0.256730467,0.167673498
0.191461548,0.122235872
0.181455746,0.163776815
0.0768108591,0.0978403687
0.0888015926,0.0959600583
0.0965674073,0.103337012
0.0834290534,0.116885953
0.129660025,0.128284156
0.100391075,0.116275944
0.110401377,0.0868178234
0.112230644,0.0936466828
0.0961222276,0.12866661
0.0929289162,0.103905283
0.106473267,0.0915156081
0.10344848,0.0956922472
0.105501063,0.100319915
0.100765698,0.0996720567
0.099587366,0.101630948
0.122714765,0.113003068
0.110156879,0.178535223
0.117353879,0.116701916
0.0878790319,0.10446655
0.0876564458,0.110455669
0.0816427618,0.0975307077
0.109036237,0.136398643
0.0825216845,0.144546345
0.113469578,0.136398643
0.115921922,0.143452108
0.0840039998,0.0862079561
0.0969472304,0.0775942281
0.101252533,0.0907175466
0.311937124,0.22562018
0.0921314657,0.0919085741
0.0846862644,0.0823771134
0.101459704,0.17028819
0.122474857,0.129157871
0.104845621,0.102757446
0.129297882,0.133282363
0.129455909,0.134438381
0.128163531,0.13512823
0.127466097,0.116671234
0.143806651,0.256896287
0.186796963,0.144673645
0.158341259,0.151161432
0.142567605,0.218616575
0.120734274,0.148846358
0.152112201,0.132216722
0.131699964,0.275109649
0.133350402,0.168077692
0.198890924,0.175595239
0.198909119,0.262056172
0.17090404,0.137906149
0.191487223,0.279027581
0.182778329,0.170797884
0.179084763,0.153494358
0.117765784,0.114478238
0.119891651,0.118875086
0.103200965,0.122463129
0.101639681,0.118517466
0.0988699868,0.135216415
0.0946610048,0.14302586
0.117443286,0.102634214
0.102712229,0.16739355
0.110329069,0.111599408
0.103367858,0.181759313
0.0785460398,0.145075649
0.105380341,0.132083848
0.0840568691,0.180750847
0.0902823135,0.116016626
0.103161439,0.186227843
0.0877044424,0.121099718
0.0795872286,0.0961788222
0.0774251819,0.0805825591
0.0929321796,0.147692919
0.0857917294,0.0828457326
0.0997604877,0.0977164656
0.106520034,0.116969854
0.10733638,0.10521289
0.144630238,0.14439255
0.103087768,0.111597061
0.178674087,0.150436163
0.175722897,0.11939659
0.178602621,0.149281234
0.107930221,0.127296612
0.163741499,0.168759242
0.209050253,0.153756425
0.142962724,0.274846345
0.152401224,0.16709277
0.120030262,0.213815019
0.225948095,0.158746541
0.124628872,0.213815019
0.141101733,0.150005877
0.176629022,0.182551101
0.157941416,0.126453206
0.103658572,0.128732383
0.139431432,0.129624203
0.130401224,0.12644501
0.111737505,0.149512053
0.103576146,0.141675264
0.156975314,0.172147274
0.146311343,0.162958935
0.123908751,0.126440838
0.0983707756,0.144339144
0.105265602,0.144339144
0.150877938,0.116609097
0.120097168,0.12365333
0.124989659,0.122461483
0.113667607,0.125441968
0.132977292,0.132890016
0.13330777,0.132613882
0.113930508,0.133359492
0.14625378,0.157244205
0.0911850631,0.126268417
0.126701668,0.163833216
0.120931484,0.113194495
0.0875593647,0.0981708542
0.158537626,0.215282395
0.117294542,0.100878879
0.112612963,0.149347931
0.102734387,0.0914117917
0.0958539322,0.137005985
0.13310425,0.139151871
0.0781049505,0.112481371
0.140710071,0.153269425
0.133266583,0.158947408
0.101140343,0.0901223496
0.153271109,0.150429979
0.0842862129,0.114888243
0.082215108,0.100282378
0.112747267,0.111052372
0.098390162,0.088016957
0.0890698954,0.100282378
0.0889945775,0.115932971
0.151757747,0.153347015
0.114004619,0.126698613
0.112936951,0.126698613
0.118835352,0.140388981
0.127609015,0.15419881
0.111460328,0.196805865
0.144279853,0.172935843
0.111563548,0.127369478
0.158880755,0.1494627
0.129377782,0.137438938
0.113974743,0.130720913
0.13652125,0.135863423
0.114779383,0.135164529
0.139859453,0.142106801
0.124125496,0.150334865
0.14299047,0.162164733
0.152966738,0.13913843
0.126008943,0.135623753
0.171885327,0.13429141
0.130432487,0.132858008
0.112190671,0.179187343
0.101619475,0.173295438
0.136008725,0.138453841
0.118294559,0.143223956
0.241637334,0.2421965
0.108058132,0.139275566
0.141600013,0.141386613
0.136776224,0.130876124
0.151698902,0.124086753
0.152230129,0.118847184
0.142348647,0.116559252
0.169515386,0.163334027
0.143723264,0.118374266
0.183809355,0.165622994
0.161630541,0.119172201
0.198745728,0.244774967
0.161745623,0.117705666
0.144528463,0.192013666
0.237618729,0.189669535
0.198751435,0.164475754
0.292639673,0.190361619
0.173980489,0.147618115
0.200204074,0.151113704
0.199132949,0.154094547
0.194455206,0.169309095
0.202263907,0.151147127
0.203627735,0.183839977
0.232193291,0.149758592
0.21095632,0.149393499
0.1832968,0.154172719
0.140134841,0.197067901
0.162762031,0.170369253
0.161575988,0.169802949
0.171983808,0.153832778
0.212027848,0.181530371
0.188341305,0.171458483
0.174873114,0.239010856
0.120576508,0.147912413
0.212064371,0.192420006
0.135743752,0.208596721
0.163476214,0.13391076
0.145105377,0.227159113
0.184498668,0.165103823
0.127677768,0.127533183
0.140798524,0.109855935
0.155206308,0.109855935
0.208090484,0.167582765
0.155969277,0.118623033
0.217897877,0.172969818
0.214867547,0.167761102
0.133164555,0.134246379
0.156737894,0.127533376
0.143701196,0.135434628
0.221926689,0.181443185
0.175454021,0.259921074
0.163584337,0.144090891
0.220990598,0.187771827
0.29019624,0.176584929
0.159013182,0.188451037
0.227028683,0.19291532
0.243444026,0.19291532
0.175221309,0.194050178
0.238409415,0.288493663
0.243356705,0.155041158
0.188953817,0.153601319
0.191009179,0.165784076
0.189898729,0.169646263
0.200126395,0.167493492
0.221471295,0.167493492
0.224288881,0.167493492
0.229444087,0.169308051
0.234772891,0.240542531
0.149766594,0.217624679
0.204910815,0.176598355
0.185871363,0.183062807
0.204503894,0.179930314
0.131729662,0.180702403
0.194867626,0.241519138
0.177693263,0.152159542
0.203150675,0.20704256
0.167550713,0.228947043
