measured,predicted
0.319162607,0.214051202
0.28153801,0.213200361
0.268048197,0.21574378
0.299123138,0.215708628
0.437062502,0.215656221
0.396774471,0.215578109
0.387484282,0.215461761
0.158414617,0.215801135
0.112271957,0.215794161
0.449561357,0.215783745
0.473045051,0.215768218
0.0988670513,0.215812519
0.0786669478,0.215811133
0.564932227,0.215809062
0.128055796,0.215814769
0.0591357984,0.215814501
0.0447854027,0.215815216
0.0695419312,0.0994347706
0.0630459711,0.0973540395
0.0538641959,0.10527049
0.105352469,0.112294644
0.0584254377,0.0993886888
0.0908108428,0.111173049
0.0722087175,0.109836653
0.0855706558,0.116216004
0.0634010062,0.111355901
0.107095271,0.120200373
0.0927464142,0.120200373
0.109594472,0.117654055
0.107075393,0.126875728
0.0961084291,0.12172626
0.175189465,0.136660635
0.0838106647,0.102956936
0.0883607045,0.144183889
0.0696398392,0.135743588
0.0917439535,0.107677802
0.0831570923,0.106670082
0.0959709883,0.104011573
0.098534964,0.121136807
0.0930255428,0.133349001
0.0923175663,0.10705813
0.113187507,0.115134835
0.09061829,0.116821818
0.12988548,0.151442841
0.1094281,0.103806369
0.0832064524,0.127570361
0.0926760212,0.118765421
0.102766819,0.117025092
0.0923452675,0.128119454
0.174027115,0.161585301
0.0908241495,0.11533238
0.09896034,0.125321016
0.0798619315,0.145884857
0.101427451,0.120261133
0.131665513,0.115530603
0.116864488,0.139165848
0.189723626,0.12364798
0.137573019,0.178017348
0.112939715,0.133505046
0.0918163061,0.159438491
0.0996973515,0.161498457
0.136210546,0.11695227
0.142779171,0.175006136
0.28788957,0.183792204
0.102514893,0.151605099
0.154936761,0.116201252
0.103578016,0.158523232
0.139424264,0.155504167
0.234133244,0.117155999
0.123763464,0.167738259
0.159459412,0.15032202
0.256730467,0.123568207
0.191461548,0.169360518
0.181455746,0.181720883
0.0768108591,0.105721317
0.0888015926,0.10709168
0.0965674073,0.10974589
0.0834290534,0.11980205
0.129660025,0.123470344
0.100391075,0.120304473
0.110401377,0.109031737
0.112230644,0.117960647
0.0961222276,0.13119188
0.0929289162,0.125822753
0.106473267,0.112694085
0.10344848,0.113140136
0.105501063,0.116920739
0.100765698,0.120441914
0.099587366,0.128550991
0.122714765,0.114501759
0.110156879,0.152161315
0.117353879,0.128785595
0.0878790319,0.136940137
0.0876564458,0.132808596
0.0816427618,0.146008328
